junction,incident_count,avg_res_time,risk_score
BM ShriJunc(CMH-100FtRd)Junc,1,51.23013096666667,4.7979528082078975
ShivandaCircle,5,49.54653044333334,4.794397540358356
PES-DevegowdaCircle,1,51.1371376,4.789312894747461
CashPharmacyJunction,1,50.35936076666667,4.717050487519858
HulimaveRd-BanneraghattaRdJunc,1,50.30348728333333,4.7118593424087925
RamaiahCircle-UlsoorPoliceStation,2,49.780398175,4.701476257695297
PrasannaJunction,5,48.128530930000004,4.662652734021188
Chokasandra (Tumkur road),2,48.74231786666667,4.605029335183798
GokuldasImagesJunc,12,44.49592609444445,4.592667257862813
BinnyMillJunction,2,47.971742283333334,4.533435988331544
DairyCircle,2,47.463451225,4.486211213983333
BhashyamCircle,1,45.5785642,4.272871831680757
ChandrikaJunction,2,44.985311458333335,4.255969919422896
RRR(Okalipuram)Junction,3,44.38257667777777,4.238187041152459
MayohallJunction,4,43.625103949999996,4.206027626995997
ShivajiTalkiesJunc,3,44.00187294444444,4.202816267644975
PlatformRdJunction,1,44.53869965,4.176259137199223
KamakyaJunction,1,44.5321139,4.175647262265433
AnandRaoJunction,1,44.15008491666666,4.140153361208919
TumkurRdMarappanapalyaJunc,9,40.14834019814815,4.074088056925975
UlsoorGateJunc,4,41.6164526375,4.019405998655562
TownhallJunction,8,39.81046227708333,4.004479622965315
MS RamaiahJunc(TollGate),5,40.89321429,3.990427263869833
JalahalliCross(SM Circle),12,37.99621956666667,3.988786530331689
YeshwanthpuraCircle,19,34.96726302807017,3.974885366777686
KatriguppeJunction,4,40.949260108333334,3.9574178599304357
SagarTheatreJunc,4,40.8224065625,3.9456320337211515
SonyworldJunction,1,41.87327523333333,3.928617427679423
DoddaballapuraCrossJunc,1,41.368442566666666,3.8817139687731985
TataInstituteCircle,5,39.51634304666667,3.8625036407666387
MotherTeressaCircle,5,39.262938903333335,3.838960134951176
ShankarMuttCircle,2,38.99322239166666,3.6992513830481295
SatteliteBusStandJunc,20,31.463280049999998,3.687550645700817
HesaraghattaJunction,10,35.011687949999995,3.635063793803046
ManipalCentreJunc,1,38.2213697,3.5893228209276526
UrvashiJunction,3,37.37852689444444,3.5874483253739133
CholurpalyaJunction(MagadiRd),2,37.64587036666667,3.5740703587018334
Arbindo Circle,4,36.68162497916666,3.56091648011819
OldMadrasRd-NGEF Junc,1,37.8463379,3.5544790206324515
SandeepUnnikrishnan-Yelhanka,4,36.4229267125,3.536881103010307
Richmond circle jn,5,35.818598709999996,3.518950200206328
GangammagudiJunc,4,35.762753625,3.4755451330442493
Deverabeesanahalli-ORR Junc,4,35.58964690416666,3.4594619742015214
KarnatakaBhavanJunction,2,35.872837325,3.409339769934088
MICO Bande,3,34.408754783333336,3.3115299996164316
PoliceCornerJunc,14,29.799797127380952,3.303698877353551
A S CharStreet-MysoreRdJunc,1,34.048471166666666,3.2016233161187113
CommandoHospitalJunc,2,33.227789,3.163591181127866
SirsiCircle,7,31.098972633333336,3.1568879496772135
MaharajaJunction,1,33.47803065,3.1486243025869927
BangaloreBodyBuildersJunc,10,29.229981108333334,3.097891643184262
HopefarmJunction,1,32.76764323333334,3.082622973423552
VijayanagarBusStandJunction,2,31.684662099999997,3.0202209241689797
LinkRoadMalleswaramJunc,3,31.081482977777778,3.002396762593244
KrishnaFlourMill,5,29.978889323333334,2.9763890956519217
OldMadrasRd-Indranagar100ftRdJunc,7,29.030992426190473,2.9647541376854956
SubedarChatramRd near SheshadripuramPS,2,30.91914636666667,2.9490976825262676
BHEL Gate,1,31.145576100000003,2.931918464474507
SwagathMainRd-EastEndRdJunc,1,31.053444266666663,2.9233585951474317
5thMainRPC Layout-Vijayanagar,2,30.151823816666663,2.8778065714946033
SiddalingaiahCircle,6,27.999022180555556,2.830658334003781
WilsonGarden12thCrossJunc,4,28.675881495833334,2.8171114823876557
MysoreRd--MadhuPetrolBunkJunction,3,28.5245437,2.764834290392631
BloodBankCircle,3,28.11866315,2.7271243659864703
